hotel_name, class_of_rating, rating_score
Luxury 2 Bedrooms Upper West Side Manhattan,N/A,N/A
Studio-Plus Apartment,good,7.0
The Mark New York,wonderful,9.0
Orchard Street Hotel,very good,8.3
East 81 Apartment #232473 Apts,N/A,N/A
Garden House with 2 Bedroom,excellent,8.6
Four Seasons Hotel New York,excellent,8.7
Carvi Hotel New York,very good,8.4
Hotel Elysee by Library Hotel Collection,wonderful,9.2
3/2 Columbus Circle #3,N/A,N/A
Four Points by Sheraton Manhattan SoHo Village,very good,8.1
Four Seasons Hotel New York Downtown,wonderful,9.4
Dylan Hotel NYC,good,7.9
Hotel Marrakech,pleasant,6.8
CITY ROOMS NYC - Times Square,excellent,8.7
Michelangelo Hotel,excellent,8.8
Luxury 2 Bedrooms Apartment Sutton Place,N/A,N/A
Club Quarters Hotel World Trade Center,excellent,8.6
Nyma| The New York Manhattan Hotel,good,7.6
The Skyline Hotel New York,good,7.9
Hôtel Plaza Athénée,excellent,8.7
West 80th Apartment,N/A,N/A
Hilton New York Grand Central,good,7.5
337 East Apartment #232467 Apts,N/A,N/A
Hoffman Place,N/A,N/A
Hotel 31,very good,8.0
Shelburne NYC-an Affinia hotel,very good,8.3
339 East Studio #232484 Apts,N/A,N/A
East 81 Street Studio #232465 Home,N/A,N/A
Hoffman Place,N/A,N/A
Hotel 31,very good,8.0
Shelburne NYC-an Affinia hotel,very good,8.3
339 East Studio #232484 Apts,N/A,N/A
East 81 Street Studio #232465 Home,N/A,N/A
Apartment in Hell's Kitchen,good,7.4
Global Luxury Suites at Renwick,N/A,N/A
Sunny 3BR Apt in Chelsea,N/A,N/A
Paramount Times Square,pleasant,6.8
Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,very good,8.2
Greenwich Street III,N/A,N/A
329 East Apartment #232463 Apts,N/A,N/A
Studio Plus - Cozy Apartments,pleasant,6.9
Chelsea Studio,N/A,N/A
Gardens NYC-an Affinia hotel,very good,8.4
Two-Bedroom on Upper East Side,N/A,N/A
Full Studio in Central New York,excellent,8.6
The Whitby Hotel,exceptional,9.5
Prime Location Times Square 2 Bedrooms,N/A,N/A
Gramercy Park Hotel,very good,8.4
NYC PrivateRoom Subway1bk,N/A,N/A
The Gotham Hotel,very good,8.1
The Westin New York Grand Central,very good,8.1
Sensational 3 Bedroom Apartment with direct park views,N/A,N/A
Avalon Hotel,very good,8.4
Hilton Garden Inn New York/Midtown Park Avenue,excellent,8.6
Millennium Hilton New York Downtown,very good,8.2
The Riverside - One Bedroom Apartment,N/A,N/A
Cozy Studio located in Midtown East,N/A,N/A
Apartment Soho Elizabeth 2,N/A,N/A
Hotel Metro,excellent,8.6
Two-Bedroom Apartment on 82nd Street,N/A,N/A
Pasadena Vacation Rental,N/A,N/A
NobleDEN Hotel,wonderful,9.1
Cosy 1 Bed Apartment Midtown West near Hell's Kitchen & Macy's,N/A,N/A
Andaz Wall Street-a concept by Hyatt,excellent,8.7
Comfort Inn Times Square South Area,good,7.4
Cassa 45 by BridgeStreet,N/A,N/A
Chelsea Savoy,good,7.3
The James New York - SoHo,very good,8.3
Beauty Near Times Square,very good,8.0
Gorgeous 4 Bedroom Loft In Midtown,N/A,N/A
Tribeca Top Deluxe Apartment,N/A,N/A
Midtown Suite New York,pleasant,6.0
Courtyard by Marriott New York Downtown Manhattan/World Trade Center Area,excellent,8.6
Courtyard by Marriott New York Downtown Manhattan/World Trade Center Area,excellent,8.6
12th Street Apartment,N/A,N/A
2 Bed Penthouse in Heart of NYC,N/A,N/A
337 East Apartment #232415 Apts,N/A,N/A
Large Bright 2bed/2bath in Prime Upper East Side,N/A,N/A
Seafarers International House,good,7.4
Studio Plus - Couple's Studio,good,7.0
Tiffiny Two Bedrooms,excellent,8.8
The Marmara Park Avenue,excellent,8.9
The Ridge Hotel,very good,8.0
HighLine Studio,excellent,8.7
Three Bedroom Apartment on 9th Avenue,excellent,8.8
Global Luxury Suites at The Eugene,N/A,N/A
Hampton Inn Manhattan-35th Street/Empire State Building,very good,8.5
East 7th Street II,N/A,N/A
Global Luxury Suites at The Eugene,N/A,N/A
Hampton Inn Manhattan-35th Street/Empire State Building,very good,8.5
East 7th Street II,N/A,N/A
Renaissance New York Midtown Hotel,wonderful,9.0
East Village Oasis- E9th,N/A,N/A
Belnord Hotel,good,7.9
Beautiful Loft On the Upper East Side,N/A,N/A
Sutton Court Hotel Residences,N/A,N/A
2nd Avenue Apartment,N/A,N/A
East Side 3 bedroom 2 bathroom (7),good,7.5
Holiday Inn Manhattan Financial District,very good,8.2
Hilton Garden Inn Times Square Central,very good,8.4
Hudson River Hotel,pleasant,6.9
DoubleTree by Hilton - Chelsea,good,7.9
Midtown Luxury High Rise Condo,N/A,N/A
Ultra Luxurious Large One Bedroom Appartment| Midtown,N/A,N/A
East 94 Apartment #232470 Apts,N/A,N/A
WestHouse Hotel New York,very good,8.3
Courtyard by Marriott New York Manhattan/Chelsea,very good,8.4
Canal Loft Hotel,pleasant,6.5
Hampton Inn Times Square Central,excellent,8.8
Places4stay Midtown South Comfort,N/A,N/A
Three-Bedroom Upper EAST,N/A,N/A
Hotel Giraffe by Library Hotel Collection,wonderful,9.4
Peck Slip Apartment,exceptional,9.5
Three-Bedroom Apartment with Two Bathrooms - East 55th Street,good,7.7
Places4stay Times Square Luxury Apartment,N/A,N/A
777 Sixth Avenue,N/A,N/A
2 Bedroom Apartment Hell's Kitchen,good,7.0
Hilton New York Fashion District,very good,8.2
Amazing LOFT in the East Village| close to the park,N/A,N/A
Midtown South One Bedroom Apartments,N/A,N/A
Parker New York,good,7.7
West 17th Apartment 3,N/A,N/A
Kimpton Hotel Eventi,excellent,8.8
Places4stay Central Park Comfort,N/A,N/A
The Jane,very good,8.0
Eurostars Wall Street,good,7.8
Places4stay Times Square Luxury Studio,N/A,N/A
Madison Ave. & 92nd Street Apt 4PH,N/A,N/A
8 Bedroom Midtown Townhouse- Sleeps 16,N/A,N/A
Broadway Suite New York,good,7.6
Roger Smith Hotel,very good,8.5
The Elizabeth,N/A,N/A
Fitzpatrick Manhattan,excellent,8.7
8 Bedroom Midtown Townhouse- Sleeps 16,N/A,N/A
Broadway Suite New York,good,7.6
Roger Smith Hotel,very good,8.5
The Elizabeth,N/A,N/A
Fitzpatrick Manhattan,excellent,8.7
Bloc Away From Central Park Three-Bedroom Apartment with Private Balcony,pleasant,6.5
Comfortable One Bedroom Apartment - Times Square,good,7.3
Beautiful Midtown East 1 Bedroom apartment,N/A,N/A
Best Western Bowery Hanbee Hotel,good,7.9
Amazing 2Bed/2Bath in Prime East Village Manhattan,N/A,N/A
Library Hotel by Library Hotel Collection,wonderful,9.3
Green Holidays Apartments,good,7.3
Hilton Garden Inn Times Square,very good,8.3
The James New York - NoMad,very good,8.2
Studio Apartment - 39th Street,N/A,N/A
Courtyard New York Manhattan/Midtown East,very good,8.3
